対象公演,種別,YouTube_URL,確認状態
MUSIC SCENE SPECIAL LIVE,公式ライブ配信,https://www.youtube.com/watch?v=7Yo_Kig50rE,確認済み
283 PRODUCTION MUSIC SCENE,公式ライブ配信,https://www.youtube.com/watch?v=ON9X-bNQSus,確認済み
THE IDOLM@STER SHINY COLORS 1stLIVE FLY TO THE SHINY SKY,ライブBlu-rayダイジェスト,https://www.youtube.com/watch?v=l2456L4Py8E,確認済み
THE IDOLM@STER SHINY COLORS MUSIC DAWN,ライブBlu-rayダイジェスト,https://www.youtube.com/watch?v=zKzEm9_1n7A,確認済み
THE IDOLM@STER SHINY COLORS MUSIC DAWN,ライブBlu-rayダイジェスト,https://www.youtube.com/watch?v=V7xHkkvKhG0,確認済み
THE IDOLM@STER SHINY COLORS MUSIC DAWN,ライブBlu-rayダイジェスト,https://www.youtube.com/watch?v=69yQvSVdsHo,確認済み
THE IDOLM@STER SHINY COLORS 2ndLIVE STEP INTO THE SUNSET SKY,ライブBlu-rayダイジェスト,https://www.youtube.com/watch?v=kLnO3QI41cM,確認済み
THE IDOLM@STER SHINY COLORS 2ndLIVE STEP INTO THE SUNSET SKY,ライブBlu-rayダイジェスト,https://www.youtube.com/watch?v=houL8QwITks,確認済み
THE IDOLM@STER SHINY COLORS 3rdLIVE TOUR PIECE ON PLANET,ライブBlu-rayダイジェスト,https://www.youtube.com/watch?v=c1LoY3T8rPI,確認済み
THE IDOLM@STER SHINY COLORS 3rdLIVE TOUR PIECE ON PLANET,ライブBlu-rayダイジェスト,https://www.youtube.com/watch?v=zw6M8nN1C4o,確認済み
THE IDOLM@STER SHINY COLORS 4thLIVE 空は澄み、今を越えて。,ライブBlu-rayダイジェスト,https://www.youtube.com/watch?v=8EirOYXuaqU,確認済み
THE IDOLM@STER SHINY COLORS 5thLIVE If I_wings.,ライブBlu-rayダイジェスト,https://www.youtube.com/watch?v=cR8uaCtRrQQ,確認済み
283PRODUCTION UNIT LIVE SETSUNA BEAT,ライブBlu-rayダイジェスト,https://www.youtube.com/watch?v=4OcxhkvfiYg,確認済み
283PRODUCTION SOLO PERFORMANCE LIVE「我儘なまま」,ライブBlu-rayダイジェスト,https://www.youtube.com/watch?v=jkRwlaR-RBk,確認済み
283PRODUCTION SOLO PERFORMANCE LIVE「我儘なまま」;THE IDOLM@STER SHINY COLORS 5.5th Anniversary LIVE 星が見上げた空,ライブBlu-rayダイジェスト,https://www.youtube.com/watch?v=G8Is1n3h6Mw,確認済み
THE IDOLM@STER SHINY COLORS 5.5th Anniversary LIVE 星が見上げた空,ライブBlu-rayダイジェスト,https://www.youtube.com/watch?v=zoXARiMb4uU,確認済み
THE IDOLM@STER SHINY COLORS 6thLIVE TOUR Come and Unite! Brilliant Blooms,ライブBlu-rayダイジェスト,https://www.youtube.com/watch?v=vGpRtW5RiQ4,確認済み
THE IDOLM@STER SHINY COLORS 6thLIVE TOUR Come and Unite! Fantastic Fireworks,ライブBlu-rayダイジェスト,https://www.youtube.com/watch?v=-f-_klp-f44,確認済み
THE IDOLM@STER SHINY COLORS 6.5th Anniversary LIVE “Chapter 283”,ライブBlu-rayダイジェスト,https://www.youtube.com/watch?v=CwS09ntq-JY,確認済み
THE IDOLM@STER SHINY COLORS 2nd season LIVE Over the prism,ライブBlu-rayダイジェスト,https://www.youtube.com/watch?v=Fby31nRjkgQ,確認済み
THE IDOLM@STER SHINY COLORS LIVE FUN!! -Beyond the Blue sky-,ライブBlu-rayダイジェスト,https://www.youtube.com/watch?v=E2AvURRjI58,確認済み
